"","Time","Site","Collector","Treatment","Species","Control","Count","LifeStage"
"1","Pre","M","KMLC","Bait","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"2","Pre","M","KMLC","Bait","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"3","Pre","M","KMLC","Bait","Aulocara elliotti","Sensitive (>85%)",0,"1"
"4","Pre","M","KMLC","Bait","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"5","Pre","M","KMLC","Bait","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"6","Pre","M","KMLC","Bait","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"7","Pre","M","KMLC","Bait","Eritettix simplex","Vulnerable (>72%)",0,"1"
"8","Pre","M","KMLC","Bait","Hadrotettix trifasciatus","Sensitive (>85%)",0,"1"
"9","Pre","M","KMLC","Bait","Heliaula rufa","UNKNOWN",0,"1"
"10","Pre","M","KMLC","Bait","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"11","Pre","M","KMLC","Bait","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"12","Pre","M","KMLC","Bait","Melanoplus regalis","UNKNOWN",0,"1"
"13","Pre","M","KMLC","Bait","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"14","Pre","M","KMLC","Bait","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"15","Pre","M","KMLC","Bait","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"16","Pre","M","KMLC","Bait","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"17","Pre","M","KMLC","Bait","Xanthippus corallipes","UNKNOWN",0,"1"
"18","Pre","K","LRB","Bait","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"19","Pre","K","LRB","Bait","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"20","Pre","K","LRB","Bait","Aulocara elliotti","Sensitive (>85%)",0,"1"
"21","Pre","K","LRB","Bait","Aulocara femoratum","Vulnerable (12-42%)",1,"1"
"22","Pre","K","LRB","Bait","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"23","Pre","K","LRB","Bait","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"24","Pre","K","LRB","Bait","Eritettix simplex","Vulnerable (>72%)",0,"1"
"25","Pre","K","LRB","Bait","Hadrotettix trifasciatus","Sensitive (>85%)",0,"1"
"26","Pre","K","LRB","Bait","Heliaula rufa","UNKNOWN",0,"1"
"27","Pre","K","LRB","Bait","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"28","Pre","K","LRB","Bait","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"29","Pre","K","LRB","Bait","Melanoplus regalis","UNKNOWN",0,"1"
"30","Pre","K","LRB","Bait","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"31","Pre","K","LRB","Bait","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"32","Pre","K","LRB","Bait","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"33","Pre","K","LRB","Bait","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"34","Pre","K","LRB","Bait","Xanthippus corallipes","UNKNOWN",0,"1"
"35","Pre","O","KCR","Bait","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"36","Pre","O","KCR","Bait","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"37","Pre","O","KCR","Bait","Aulocara elliotti","Sensitive (>85%)",0,"1"
"38","Pre","O","KCR","Bait","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"39","Pre","O","KCR","Bait","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"40","Pre","O","KCR","Bait","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"41","Pre","O","KCR","Bait","Eritettix simplex","Vulnerable (>72%)",0,"1"
"42","Pre","O","KCR","Bait","Hadrotettix trifasciatus","Sensitive (>85%)",4,"1"
"43","Pre","O","KCR","Bait","Heliaula rufa","UNKNOWN",0,"1"
"44","Pre","O","KCR","Bait","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"45","Pre","O","KCR","Bait","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"46","Pre","O","KCR","Bait","Melanoplus regalis","UNKNOWN",0,"1"
"47","Pre","O","KCR","Bait","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"48","Pre","O","KCR","Bait","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"49","Pre","O","KCR","Bait","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"50","Pre","O","KCR","Bait","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"51","Pre","O","KCR","Bait","Xanthippus corallipes","UNKNOWN",0,"1"
"52","Pre","P","MAT","Bait","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"53","Pre","P","MAT","Bait","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"54","Pre","P","MAT","Bait","Aulocara elliotti","Sensitive (>85%)",0,"1"
"55","Pre","P","MAT","Bait","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"56","Pre","P","MAT","Bait","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"57","Pre","P","MAT","Bait","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"58","Pre","P","MAT","Bait","Eritettix simplex","Vulnerable (>72%)",0,"1"
"59","Pre","P","MAT","Bait","Hadrotettix trifasciatus","Sensitive (>85%)",1,"1"
"60","Pre","P","MAT","Bait","Heliaula rufa","UNKNOWN",0,"1"
"61","Pre","P","MAT","Bait","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"62","Pre","P","MAT","Bait","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"63","Pre","P","MAT","Bait","Melanoplus regalis","UNKNOWN",0,"1"
"64","Pre","P","MAT","Bait","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"65","Pre","P","MAT","Bait","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"66","Pre","P","MAT","Bait","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"67","Pre","P","MAT","Bait","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"68","Pre","P","MAT","Bait","Xanthippus corallipes","UNKNOWN",0,"1"
"69","Pre","S","KMLC","Untreated","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"70","Pre","S","KMLC","Untreated","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"71","Pre","S","KMLC","Untreated","Aulocara elliotti","Sensitive (>85%)",0,"1"
"72","Pre","S","KMLC","Untreated","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"73","Pre","S","KMLC","Untreated","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"74","Pre","S","KMLC","Untreated","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"75","Pre","S","KMLC","Untreated","Eritettix simplex","Vulnerable (>72%)",0,"1"
"76","Pre","S","KMLC","Untreated","Hadrotettix trifasciatus","Sensitive (>85%)",1,"1"
"77","Pre","S","KMLC","Untreated","Heliaula rufa","UNKNOWN",0,"1"
"78","Pre","S","KMLC","Untreated","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"79","Pre","S","KMLC","Untreated","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"80","Pre","S","KMLC","Untreated","Melanoplus regalis","UNKNOWN",0,"1"
"81","Pre","S","KMLC","Untreated","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"82","Pre","S","KMLC","Untreated","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"83","Pre","S","KMLC","Untreated","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"84","Pre","S","KMLC","Untreated","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"85","Pre","S","KMLC","Untreated","Xanthippus corallipes","UNKNOWN",0,"1"
"86","Pre","J","LRB","Untreated","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"87","Pre","J","LRB","Untreated","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
"88","Pre","J","LRB","Untreated","Aulocara elliotti","Sensitive (>85%)",0,"1"
"89","Pre","J","LRB","Untreated","Aulocara femoratum","Vulnerable (12-42%)",0,"1"
"90","Pre","J","LRB","Untreated","Cordillacris crenulata","Nonsusceptible (15-30%)",0,"1"
"91","Pre","J","LRB","Untreated","Cordillacris occipitalis","Nonsusceptible (15-30%)",0,"1"
"92","Pre","J","LRB","Untreated","Eritettix simplex","Vulnerable (>72%)",0,"1"
"93","Pre","J","LRB","Untreated","Hadrotettix trifasciatus","Sensitive (>85%)",0,"1"
"94","Pre","J","LRB","Untreated","Heliaula rufa","UNKNOWN",0,"1"
"95","Pre","J","LRB","Untreated","Melanoplus occidentalis","Sensitive (55-85%)",0,"1"
"96","Pre","J","LRB","Untreated","Melanoplus packardii","Sensitive (55-85%)",0,"1"
"97","Pre","J","LRB","Untreated","Melanoplus regalis","UNKNOWN",0,"1"
"98","Pre","J","LRB","Untreated","Melanoplus sanguinipes","Sensitive (>85%)",0,"1"
"99","Pre","J","LRB","Untreated","Metator pardalinus","Nonsusceptible (15-30%)",0,"1"
"100","Pre","J","LRB","Untreated","Phlibostroma quadrimaculatum","Nonsusceptible (0-15%)",0,"1"
"101","Pre","J","LRB","Untreated","Psoloessa delicatula","Vulnerable (>72%)",0,"1"
"102","Pre","J","LRB","Untreated","Xanthippus corallipes","UNKNOWN",0,"1"
"103","Pre","Q","KCR","Untreated","Ageneotettix deorum","Sensitive (>85%)",0,"1"
"104","Pre","Q","KCR","Untreated","Amphitornus coloradus","Nonsusceptible (15-30%)",0,"1"
